code;name;street;postal_code;city;manager;chain_name;email
100291;Post CH AG;"PostNetz; Wankdorfallee";3030;Bern;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
102285;PostShop Lausanne 2 St-François;Place Saint-François 15;1000;Lausanne 2 St-François;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105366;PostShop Lausanne 1 Dépôt;Avenue de la Gare 43 B;1000;Lausanne 1 Dépôt;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105367;PostShop Genève 11 Rue du Stand;Place de la Poste;1200;Genève 11 Rue du Stand;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105443;PostShop Genève 1 Mont-Blanc;Rue du Mont-Blanc 18;1200;Genève 1 Mont-Blanc;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105444;PostShop Genève 13 Les Charmilles;Rue des Charmilles 23;1200;Genève 13 Les Charmilles;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105368;PostShop Bulle;Rue Nicolas-Glasson 8;1630;Bulle 1;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
109696;PostShop Bern 22 Breitenrain;Scheibenstrasse 20;3000;Bern 22 Breitenrain;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105370;PostShop Bern 18 Bümpliz;Frankenstrasse 1;3018;Bern 18 Bümpliz;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105371;PostShop Lyss;Bahnhofstrasse 8;3250;Lyss;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105372;PostShop Basel 2 Annahme;Postpassage 9;4002;Basel 2 Annahme;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105445;PostShop Basel 1 Rüdengasse;Rüdengasse 1;4001;Basel 1 Rüdengasse;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
109697;PostShop Binningen;Hauptstrasse 34;4102;Binningen 1;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
108104;PostShop Pratteln;Bahnhofstrasse 34;4133;Pratteln 1;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105373;PostShop Reinach BL;Austrasse 2;4153;Reinach BL 1;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105375;PostShop Brugg AG;Bahnhofstrasse 11;5200;Brugg AG 1;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
105376;PostShop Baden;Bahnhofstrasse;5400;Baden 1;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
105446;PostShop Luzern;Bahnhofplatz 4;6000;Luzern 1 Annahme;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
102684;Post CH AG Luzern 2 Universität;Frohburgstrasse;6005;Luzern 2  Annahme;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108105;Posta CH SA Bellinzona 1;Viale Stazione;6500;Bellinzona 1;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
105448;PostShop Locarno;Piazza Grande 3;6600;Locarno 1;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
105449;PostShop Zürich 1 Sihlpost;Kasernenstrasse 97;8021;Zürich 1 Sihlpost;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
105378;PostShop Zürich 36 Wiedikon;Seebahnstrasse 89;8036;Zürich 36 Wiedikon;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
105379;PostShop Winterthur;Bahnhofplatz 8;8400;Winterthur 1 Annahme;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
101268;PostShop Dübendorf;Wilstrasse 15;8600;Dübendorf 1;Gianni Cartolano;Schweizerische Post;Gianni.Cartolano@salt.ch
105450;PostShop Aarau;Bahnhofstrasse;5000;Aarau;Besnik Jakupi;Schweizerische Post;Besnik.Jakupi@salt.ch
108106;PostShop Aigle;Rue de la Gare 27;1860;Aigle;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
105380;PostShop Burgdorf;Bahnhofstrasse 35;3400;Burgdorf 1;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105381;PostShop Biel 3 Neumarkt;General-Dufour-Strasse 26;2500;Biel/Bienne 3 Neumarkt/Marché-Neuf;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105382;PostShop Delémont;Place de la Poste 4;2800;Delémont 1;Emir Mustafa;Schweizerische Post;Emir.Mustafa@salt.ch
105383;PostShop Frauenfeld;Rheinstrasse 1;8500;Frauenfeld 1;Lucas Amigo;Schweizerische Post;Lucas.Amigo@salt.ch
105384;PostShop Fribourg;Avenue de Tivoli;1700;Fribourg 1 Dépôt;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
108107;PostShop Genève 3 Rive;Rue du Vieux-Collège 3;1200;Genève 3 Rive;Ludovic Girardin;Schweizerische Post;Ludovic.Girardin@salt.ch
