KEY;VALUE
common.opening;ERÖFFNUNG
common.opening.opening;Begrüssung
common.opening.opening.desc;E-Mail:<br/>Richtige Grussformel wie Herr / Frau und richtiger Kundenname<br/><br/>Telefon:<br/>Begrüssung, Vorstellung.<br/>Auf verbales «Händeschütteln» zurückgreifen.
common.opening.opening.passed;E-Mail:<br/>Agent:<br/>- Hat Kund:in mit Namen begrüsst<br/>- Hat Kund:in je nach Geschlecht richtig angesprochen (d. h. Herr / Frau)<br/><br/>Telefon:<br/>- Agent hat Kund:in begrüsst, verbales «Händeschütteln» verwendet<br/>- Agent hat Marken-/Firmenname genannt (Salt - trifft nicht auf Lidl zu)<br/>- Agent hat sich vorgestellt
common.opening.opening.failed;E-Mail:<br/>- Hat bei der Begrüssung nicht den richtigen Kundennamen verwendet.<br/>- Der Kundenname weist einen Rechtschreibfehler auf.<br/>- Agent sprach die Kund:in mit dem falschen geschlechtsspezifischen Grusswort an (Herr / Frau)<br/><br/>Telefon:<br/>- Agent weicht von einer der drei zum Bestehen benötigten Anforderungen ab
common.opening.identification;Identifizierung
common.opening.identification.desc;Richtige Kundenverifizierung (gemäss ID-Prozess).
common.opening.identification.passed;Agent hat die Kund:in entsprechend dem ID-Prozess korrekt verifiziert.
common.opening.identification.failed;E-Mail:<br/>Agent befolgte nicht den <a href='http://qoom.salt.ch/knowledge/handling/ticket/contact_form-how_to_identify_the_applicant' target='_blank'>ID-Prozess</a>. <br/>Für den Anruf gibt es insgesamt null Punkte, da dies ein schwerwiegender Fehler ist.<br/><br/>Telefon:<br/>Agent befolgte nicht den <a href='http://qoom.salt.ch/knowledge/handling/voice/customer_service-how_to_identify_the_caller' target='_blank'>ID-Prozess</a>. <br/>Eine zu gründliche Verifizierung führt nicht zu einem «Durchgefallen». Für den Anruf gibt es insgesamt null Punkte, da dies ein schwerwiegender Fehler ist. 
common.resolution;LÖSUNGSSCHRITTE
common.resolution.diagnostic;Verständnis & Diagnose des Problems
common.resolution.diagnostic.desc;Kundenanfrage wurde richtig diagnostiziert.<br/>Kläre das Problem der Kund:in. <br/>Kontrolliere die Fallhistorie und den Grund für das Problem.
common.resolution.diagnostic.passed;E-Mail:<br/>- Agent hat die Kundenanfrage und den Grund für das Problem identifiziert.<br/>- Agent hat die Fallhistorie und den Hintergrund überprüft, um das Problem zu verstehen (wo zutreffend).<br/>- Agent hat richtig erklärt, wie/warum die Schwierigkeit/das Problem zustande kam.<br/>- Agent hat der Kundenanfrage bzw. dem Anliegen der Kund:in Beachtung geschenkt.<br/>- Agent konnte das Kundenprofil identifizieren (d. h. Sonnen-Kund:in / Wolken-Kund:in / Gewitter-Kund:in) -, um eine entsprechend Antwort zu formulieren.<br/><br/>Telefon:<br/>- CSS konnte das Kundenproblem verstehen und es schnell identifizieren.  <br/>- CSS hat offene Fragen / geschlossene Frage gestellt -- wenn nötig.<br/>- CSS hat alternative Fragen gestellt, um das Problem zu verstehen.<br/>- CSS hat die richtigen tiefgreifenden Fragen gestellt, dank denen das Kundenproblem gründlich verstanden werden konnte.<br/><br/>Beispiele:<br/>«Ich möchte sicherstellen, dass ich wirklich verstehe, was Sie mir erzählen. Also, …»<br/>«Wenn ich Sie richtig verstehe, …»<br/>«Also, was ich bisher verstanden habe, ist ... es wäre toll, wenn Sie mir ein bisschen mehr über ... erzählen könnten.»<br/>OFFENE FRAGEN <br/>z. B. wie, warum, wann, wer, was, wo?<br/>Beispiel:<br/>· Wie oft passiert das?<br/>· Was haben Sie gemacht, bevor das Problem auftrat?<br/>· Was wurde Ihnen dann angezeigt?<br/>GESCHLOSSENE FRAGEN<br/>z. B. hat, kann, haben, ist, wird, wäre?<br/>Beispiel:<br/>· Haben Sie versucht, einen Anruf zu tätigen/zu testen, ob sich eine Google-Seite öffnet?<br/>· Sehen Sie die Netzwerk-/Signalbalken?<br/>· Stimmen Sie dem zu?
common.resolution.diagnostic.failed;E-Mail:<br/>- Agent hat weder die Kundenanfrage noch den Grund für das Problem richtig identifiziert.<br/>- Agent hat weder die Fallhistorie noch den Hintergrund überprüft, um das Problem zu verstehen (wo zutreffend).<br/>- Agent hat nicht richtig erklärt, wie/warum die Schwierigkeit/das Problem zustande kam.<br/>- Agent kam zu übereilten/falschen Rückschlüssen in Bezug auf das Kundenproblem (las die E-Mail/die Anfrage/das Anliegen der Kund:in nicht gründlich genug durch).<br/>- Agent hat nicht gründlich über die Kundenanfrage nachgedacht.<br/>- Agent konnte das Kundenprofil nicht identifizieren (d. h. Sonnen-Kund:in / Wolken-Kund:in / Gewitter-Kund:in) -, konnte daher keine entsprechend Antwort formulieren.<br/><br/>Telefon:<br/>- CSS hat nicht die richtigen Fragen gestellt, um das Problem zu klären. <br/>- CSS stellte keine offenen Fragen / geschlossene Fragen - wann immer/wenn nötig.<br/>- CSS hat keine alternative Fragen gestellt, um das Problem zu verstehen.<br/>- CSS schaffte es nicht, das Kundenproblem zu verstehen und das Problem schnell zu identifizieren.<br/>- CSS hat Fragen gestellt, die in dieser Situation nicht angemessen waren.
common.resolution.solution;Lösung
