LOGIN_USERNAME;Benutzername
LOGIN_PASSWORD;Passwort
SHOW_PWD;Passwort anzeigen
wtf;Ups, da ist etwas schiefgelaufen ...
send_button;Senden
cctl_checkbox;Cc an 
app_label;Better Together
version_label;v
cctl_label;fabien.renard@salt.ch
reasons_categories_label;Ich möchte melden, dass:
reasons_categories_tree_alert;Du musst zuerst einen Grund auswählen!
reasons_description_defect_label;Was ist passiert?
reasons_description_defect_textarea_alert;Du hast nicht beschrieben, was passiert ist!
reasons_description_defect_textarea_tooltip;Mache hier genauere Angaben zum beanstandeten Sachverhalt.
reasons_description_fix_label;Was sollte in Zukunft anders sein?
reasons_description_fix_textarea_alert;Du hast uns nicht verraten, was anders sein soll!
reasons_description_fix_textarea_tooltip;Beschreibe hier genau, wie es sein sollte. Wenn es einen dokumentierten Prozess gibt, der Deine Behauptung stützt, füge ihn in das Feld "URL der Prozessdokumentation?" ein.
details_label;Details
details_customer_id_label;Kunden-ID(s) (MSISDN oder Contractor-Nr.)
details_customer_id_textfield_alert;Bitte identifiziere die Kund:in
details_customer_id_textfield_tooltip;Beisp.: 078 777 77 77 oder 31234567\nBei mehreren Nummern benutzt du für jede Nummer eine neue Zeile. Wenn du eine passende SO-Ticketnummer hinzufügen möchtest, füge sie bitte in die gleiche Zeile ein.
details_customer_id_textfield_alert_badFormat;Falsch formatierte Kunden-ID(s):
details_customer_so_label;SO-Ticket-Nummer(n)
details_customer_so_textfield_tooltip;12456789\nBei mehreren Namen benutzt du für jeden Namen eine neue Zeile. Wenn du eine passende Kunden-ID-Nummer hinzufügen möchtest, füge sie bitte in die gleiche Zeile ein.
details_customer_so_textfield_alert;Bitte benutze eine gültige SuperOffice-Ticketnummer. Bei mehreren Nummern benutzt du für jede Nummer eine neue Zeile. Wenn du eine passende Kunden-ID-Nummer hinzufügen möchtest, füge sie bitte in die gleiche Zeile ein.
details_customer_so_textfield_alert_badFormat;Falsch formatierte Ticketnummer(n):
details_person_label;Wer ist involviert?
details_person_label_tooltip;NT, E-Mail-Adresse oder Vor- und Nachname gemäss Super Office (eine Person pro Zeile). Klicke dann auf das Lupensymbol, um im aktiven Mitarbeiterverzeichnis der Firma danach zu suchen.
details_person_selector_display_label;Kontrolliere, dass es sich um die richtige Person handelt und wähle dann die Empfänger:in aus.
details_person_selector_display_tooltip;Vergewissere dich, dass es sich um die richtige Person handelt.
details_person_selector_display_tableview_alert;Niemand wurde ausgewählt!
details_person_selector_input_textarea_alert;Du musst mindestens eine Person hinzufügen!
details_process_label;URL der Prozessdokumentation?
details_process_textfield_alert;Du musst einen gültigen Link zu einem Prozess eingeben.
details_process_textfield_tooltip;https://qoom.salt.ch/customer-process/discover/salt_company_info/stores_adress_list
details_tools_label;Welches Tool?
details_product_label;Produkt
details_product_dropdown_alert;Du hast kein Produkt ausgewählt
details_product_dropdown;{{details_dropdown_prompt}}
details_tools_dropdown;{{details_dropdown_prompt}}
details_dropdown_prompt;Auswählen ...
details_tools_dropdown_alert;Du hast kein Tool ausgewählt
LOGIN_BTN;{{app_label}} ausführen
details_person_selector_display_tableview_searching;Suche wird durchgeführt …
catAgent;ein Agent
catAgent_ticket;hat ein Ticket erstellt,
catAgent_ticket_stateoftheart;das ein absolutes Meisterwerk war!
