KEY;VALUE
telesales.resolution.diagnostic;Verständnis & Diagnose der Bedürfnisse
telesales.resolution.diagnostic.desc;Richtige Diagnose der Bedürfnisse und Situation der Kund:in.<br/>Erkennen der von der Kund:in (nicht) ausgedrückten Bedürfnisse.
telesales.resolution.diagnostic.passed;Telefon:<br/>- Agent verstand die Bedürfnisse und Erwartungen der Kund:in gut.  <br/>- Agent hat offene Fragen gestellt.<br/>- Agent hat alternative Fragen gestellt, um die Bedürfnisse zu verstehen.<br/>- Agent hat der Kund:in aktiv zugehört.<br/>Beispiele:<br/>«Ich möchte sichergehen, dass ich wirklich verstehe, was Sie mir erzählen. Also, …»<br/>«Wenn ich Sie richtig verstehe, …»<br/>«Also, was ich bisher verstanden habe, ist ... es wäre toll, wenn Sie mir ein bisschen mehr über ... erzählen könnten.»<br/>OFFENE FRAGEN <br/>z. B. wie, warum, wann, wer, was, wo?<br/>Beispiel:<br/>· Wie oft passiert das?<br/>· Was haben Sie gemacht, bevor das Problem auftrat?<br/>· Was wurde Ihnen dann angezeigt?<br/>GESCHLOSSENE FRAGEN<br/>z. B. hat, kann, haben, ist, wird, wäre?<br/>Beispiel:<br/>· Haben Sie versucht, einen Anruf zu tätigen/zu testen, ob sich eine Google-Seite öffnet?<br/>· Sehen Sie die Netzwerk-/signalbalken?<br/>· Sind Sie damit einverstanden?
telesales.resolution.diagnostic.failed;Telefon:<br/>- Agent verstand die Bedürfnisse und Erwartungen der Kund:in nicht gut.  <br/>- Agent hat keine offenen Fragen gestellt.<br/>- Agent hat keine alternativen Fragen gestellt, um die Bedürfnisse zu verstehen.
telesales.resolution.solution.desc;Vollständige und richtige Informationen. Der Kund:in wird eine nützliche Lösung angeboten und erklärt, wie das Produkt ihren Bedürfnissen entspricht. Erkennen von Gelegenheiten, um der Kund:in die Firmenwerte (Qualität, Produkte) zu demonstrieren und Optionen vorzuschlagen. Kundenbindung (Retention). Getroffene Massnahmen.<br/><br/>
telesales.resolution.solution.passed;Wenn:<br/>- Agent lieferte korrekte und vollständige Informationen, stellte eine Lösung für das Kundenproblem sowie zusätzliche dazugehörige Optionen bereit. <br/>- Agent lieferte klare Lösungen, die zur Situation passten, und erklärte den Prozess ausführlich, um die Kund:in zufriedenzustellen.<br/>- Agent versuchte, die Kund:in zum Bleiben zu bewegen, indem ein Angebot unterbreitet wurde, dass an seine/ihre Bedürfnisse angepasst ist (Preisplanänderung, SIMO-Verlängerung oder mit Gerät, Akquise eines neuen Abonnenten, Erstellung eines WB2-Falls ...)<br/>- Alle Richtlinien und Prozesse wurden befolgt. <br/>- Die getroffenen Massnahmen sind richtig und angemessen.<br/>- Es wurden nur geringfügige Richtlinien verletzt, die keinerlei negativen Einfluss auf die Kund:in oder die Firma haben.
telesales.resolution.solution.failed;Wenn:<br/>- Agent lieferte falsche und unvollständige Informationen und stellte keine Lösungen für die Bedürfnisse der Kund:in oder zusätzliche dazugehörige Optionen bereit. <br/>- Agent lieferte keine klaren Lösungen, die zur Situation passten, und erklärte den Prozess nicht ausführlich, um die Kund:in zufriedenzustellen.<br/>- Agent versuchte nicht, die Kund:in zum Bleiben zu bewegen, indem ein Angebot unterbreitet wurde, dass an seine/ihre Bedürfnisse angepasst ist (Preisplanänderung, SIMO-Verlängerung oder mit Gerät, Akquise eines neuen Abonnenten, Erstellung eines WB2-Falls ...)<br/>- Nicht alle Richtlinien und Prozesse wurden befolgt.<br/>- Agent gewährte einen Rabatt, der nicht in den Richtlinien vereinbart ist.
telesales.resolution.proactivity;Proaktivität 
telesales.resolution.proactivity.desc;Erkenne Gelegenheiten, um der Kund:in die Firmenwerte (Qualität, Produkte usw.) zu demonstrieren.<br/>Schlage Optionen und Alternativen vor.<br/>Bereitschaft, zusätzliche Bedürfnisse zu lösen, die von der Kund:in nicht angesprochen wurden.
telesales.resolution.proactivity.passed;Wenn:<br/>- Agent antizipierte weitere Bedürfnisse / Fragen und lieferte zusätzliche Informationen und Lösungen.<br/>- Agent ging die Extrameile und gab der Kund:in alternative Kanäle (Mein Konto, FAQ usw.), die die Kund:in das nächste Mal konsultieren kann, um sich selbst zu helfen, anstatt uns anzurufen oder anzuschreiben. <br/>
telesales.resolution.proactivity.failed;Wenn:<br/>- Agent antizipierte keine weitere Bedürfnisse / Fragen und lieferte keine zusätzlichen Informationen und Lösungen.<br/>- Agent ging nicht die Extrameile und gab der Kund:in keine alternativen Kanäle, die die Kund:in das nächste Mal konsultieren kann, um sich selbst zu helfen, anstatt uns anzurufen oder anzuschreiben. 
telesales.sales.handleobjections;Umgang mit Einwänden
telesales.sales.handleobjections.desc;Behandlung von Einwänden. Mit Einwänden umgehen bedeutet, dass du der Käufer:in auf eine Weise antwortest, die ihre Meinung ändert oder ihre Bedenken ausräumt und einen Abschluss des Geschäfts ermöglicht.
telesales.sales.handleobjections.passed;Wenn:<br/>- Agent hat die Bedenken der Kund:in proaktiv angesprochen.<br/>- Agent hat zusätzliche qualifizierende Fragen gestellt und ist in durchdachter Weise auf die Kundenbedenken eingegangen.<br/>- Agent hat die richtigen Argumente benutzt, um die Meinung der Kund:in zu ändern.<br/>- Agent hat alternative Lösungen
telesales.sales.handleobjections.failed;Wenn:<br/>- Agent hat die Bedenken der Kund:in nicht proaktiv angesprochen.<br/>- Agent hat keine zusätzlichen qualifizierenden Fragen gestellt und ist auch nicht in durchdachter Weise auf die Kundenbedenken eingegangen.<br/>- Agent hat nicht die richtigen Argumente benutzt, um die Meinung der Kund:in zu ändern.<br/>- Agent hatte keine alternativen Lösungen
telesales.sales.opportunity.desc;Gelegenheit, um verfügbare Werbeaktionen, Optionen und Verträge vorzuschlagen.
telesales.sales.opportunity.passed;Wenn: Agent die Gelegenheit nutzt, um Folgendes vorzuschlagen:<ul><li>Option (z. B.: Mobile Security App/Versicherung)</li><li>Verlängerung – Akquise eines zusätzlichen Abos</li><li>Salt Home / TV Pakete (wenn Fiber verfügbar und CSRs Home verkaufen dürfen).</li></ul>
