KEY;VALUE
MAIN_TITLE;Transaction Monitoring
AGREE;Bestanden
DISAGREE;Nicht bestanden
NA;k. A.
ERROR;Fehler
FORM_HELP;Wähle den Transaktionstyp, den du beobachtest
DIALOG_APPLY_YOURSELF;Komm schon {0} ... streng dich mehr an!
DIALOG_MSG_SUCCESS_TRUE;Alles gut. E-Mail erfolgreich gesendet
DIALOG_MSG_SUCCESS_FALSE;Hoppla, etwas ist schief gelaufen :(
DIALOG_TITLE_SUCCESS_TRUE;Monitoring-E-Mail und -Nachverfolgung
DIALOG_TITLE_SUCCESS_FALSE;Monitoring-E-Mail und -Nachverfolgung
ALERT_AGENT_NOT_SEARCHED;Du hast keine zu beobachtende Person ausgewählt.
ALERT_AGENT_NOT_FOUND;Agent wurde nicht im aktiven Verzeichnis gefunden.
ALERT_MONITORING_SUMMARY;Unvollständige Zusammenfassung des Monitorings.
ALERT_TRANSACTION_SUMMARY;Unvollständige Transaktionszusammenfassung.
ALERT_MONITORING_REASON;Du hast keinen Grund für das Monitoring angegeben.
ALERT_MONITORING_TYPE;Du hast keine Monitoring-Methode angegeben.
ALERT_UNANSWERED_QUESTIONS;Manche Themen haben keinen Inhalt!
ALERT_ADD_ARGUEMENT_WHEN_DISAGREE;Bitte argumentiere, warum dies deiner Meinung nach nicht auf dich zutrifft!
ALERT_TRANSACTION_DATE_NOT_SET;Du hast kein Datum für die Transaktion angegeben.
ALERT_TRANSACTION_ID_NOT_SET;Wie sollen wir deine Behauptungen überprüfen, wenn wir die Transaktion nicht identifizieren können?
ALERT_TRANSACTION_TYPE;Es wurde keine Transaktionsart ausgewählt ...
ALERT_TRANSACTION_FUTURR_DATE;Das Transaktionsdatum liegt in der Zukunft...
TRANSACTION_SUMMARY;Transaktionszusammenfassung
TRANSACTION_SUMMARY_HELP;Hinweis: Dies wird an den Agenten gesendet
TRANSACTION_SUMMARY_PLACEHOLDER;Fasse hier kurz den Anwendungsfall der Kund:in zusammen.
TRANSACTION_TYPE;Typ
TRANSACTION_WHEN_HELP;Datum und Uhrzeit der Transaktion
TRANSACTION_WHEN_DATE;Datum
TRANSACTION_WHEN_DATE_HELP;Wähle ein Datum
TRANSACTION_WHEN_TIME;Uhrzeit
TRANSACTION_ID;Kennung
TRANSACTION_ID_HELP;Gib hier eine eindeutige Transaktionskennung ein: - SO-Ticket-ID - Anrufaufzeichnungs-ID - E-Mail-Betreff usw. 
SELECT_DATE;Wähle...
MONITORING_SUMMARY;Zusammenfassung der Beobachtung
MONITORING_SUMMARY_HELP;Hinweis: Dies wird an den Agenten gesendet
MONITORING_SUMMARY_PLACEHOLDER;Fasse hier kurz deine Beobachtung bezüglich der Art und Weise, wie die Agenten die Transaktion gehandhabt haben, zusammen.
MONITORED_BY;Beobachtet von
TRANSACTION_AGENT;Agent
TRANSACTION_AGENT_HELP;NT des Agenten eingeben. Wenn gefunden, wird die E-Mail-Adresse angezeigt.
MONITORING_COACH_HELP;Das solltest du sein
MONITORING_COACH_LOGMEOUT;Das bin nicht ich ... melde mich bitte ab!
MONITORING_REASON;Grund
MONITORING_REASON_HELP;Wähle den Grund für dieses Monitoring aus
MONITORING_REASON_BASIC;Basis
MONITORING_REASON_BASIC_HELP;Normales/regelmässiges Monitoring (2 x pro Monat)
MONITORING_REASON_EXTRA;Extra
MONITORING_REASON_EXTRA_HELP;Monitoring für neue Mitarbeiter:innen (4 x pro Monat)
MONITORING_REASON_FOCUS;Fokus
MONITORING_REASON_FOCUS_HELP;Zusätzliches Monitoring nach kritischen Fehlern (+2 im nächsten Monat)
MONITORING_REASON_SPEAKOUT;Better Together
MONITORING_REASON_SPEAKOUT_HELP;Monitoring «Agent-zu-Agent»
MONITORING_REASON_CALLIBRATION;Kalibr.
MONITORING_REASON_CALLIBRATION_HELP;Kalibrierungen werden nicht an die beobachtete Person/den Agenten gesendet
MONITORING_TYPE;Typ 
MONITORING_TYPE_HELP;Wie führst du dieses Monitoring durch?
MONITORING_TYPE_REMOTE;Aus der Ferne
MONITORING_TYPE_REMOTE_HELP;Beobachteter Agent ist nicht an deiner Seite
MONITORING_TYPE_SIDEBYSIDE;Seite an Seite
MONITORING_TYPE_SIDEBYSIDE_HELP;Beobachteter Agent ist an deiner Seite
;
passed_placeholder;Allfällige Kommentare
failed_placeholder;Bitte gib den Grund dafür an
;
SEND_ALL_TOOLTIP;Wähle, ob du alle Themen ({{AGREE}}, {{DISAGREE}} und {{NA}}) oder nur {{DISAGREE}} abschicken möchtest.
;
LOGIN_USERNAME;Benutzername
LOGIN_PASSWORD;Passwort
LOGIN_BTN;Los geht's mit dem Coaching!
SHOW_PWD;Hier klicken, um das eingegebene Passwort anzuzeigen
