common.opening;OPENING
common.opening.opening;Welcoming
common.opening.opening.desc;Email:<br/>Correct salutations like Mr / Mrs/ Ms, etc. and with correct customer name<br/><br/>Phone:<br/>Greeting, Introduction.<br/>Use verbal handshake.
common.opening.opening.passed;Email:<br/>Agent:<br/>- Greeted customer with his name.<br/>- Identified the customer using the correct gender salutation (i.e. Mr/Mrs, etc..)<br/><br/>Phone:<br/>- Agent greeted the customer, used verbal handshake<br/>- Agent provided brand/company name (Salt --not applicable for LIDL)<br/>- Identified himself
common.opening.opening.failed;Email:<br/>- Didn't use the correct customer name when greeting.<br/>- The customer name has a spelling mistake.<br/>- Agent identified the customer using a wrong gender salutation (i.e. Mr/Mrs, etc..)<br/><br/>Phone:<br/>Agent deviates from any of the 3 pass requirements
common.opening.identification;Identification
common.opening.identification.desc;Correct customer verification  (according to the ID process).
common.opening.identification.passed;Agent appropriately verified as per the ID process.
common.opening.identification.failed;Email:<br/>Agent did not follow the <a href='http://qoom.salt.ch/knowledge/handling/ticket/contact_form-how_to_identify_the_applicant' target='_blank'>ID process</a>. <br/>Full call score will become zero as this is a fatal error.<br/><br/>Phone:<br/>Agent did not follow the <a href='http://qoom.salt.ch/knowledge/handling/voice/customer_service-how_to_identify_the_caller' target='_blank'>ID process</a>. <br/>Over verifying is not a failure. Full call score will become zero as this is a fatal error 
common.resolution;RESOLUTION STEPS
common.resolution.diagnostic;Issue Understanding & Diagnostics
common.resolution.diagnostic.desc;Correct diagnosis of the customer query.<br/>Clarify the customer's issue. <br/>Review the case history and the reason for the issue.
common.resolution.diagnostic.passed;Email:<br/>- Agent identified customer's query and reason for the issue.<br/>- Agent reviewed case history and background to understand issue (whenever applicable).<br/>- Agent provided a correct explanation of how/why the issue/problem happened.<br/>- Agent paid attention to customer's request/enquiry.<br/>- Agent managed to identify the Customer Profile (i.e. Sunny / Cloudy / Stormy) - to adapt reply accordingly.<br/><br/>Phone:<br/>- CSS managed to understand customer's issue and identify the issue quickly.  <br/>- CSS asked open questions / closed questions -- If needed.<br/>- CSS asked alternative questions to understand the issue.<br/>- CSS asked appropriate probing questions which led to a full understanding of customer concern.<br/><br/>Examples:<br/>«I want to make sure that I really understand what you’re telling me. So, …»<br/>«If I understand correctly, …»<br/>«So, what I understand so far is… it would be great if you could tell me a bit more about…»<br/>OPEN QUESTIONS <br/>i.e. How, Why, When, Who, What, Where ?<br/>Example:<br/>· How often does that happen?<br/>· What did you do before the problem started?<br/>· What did it show you then?<br/>CLOSED QUESTIONS<br/>i.e. Did, Can, Have, Do, Is, Will, Would ?<br/>Example:<br/>· Did you try to make a call/test if a google page opens?<br/>· Do you see the bars of the network/signal?<br/>· Do you agree with that?
common.resolution.diagnostic.failed;Email:<br/>- Agent did not identify the customer query correctly /nor the reason for the issue.<br/>- Agent did not review the case history and background to understand issue (whenever applicable).<br/>- Agent did not provide a correct explanation of how/why the issue/problem happened.<br/>- Agent rushed to hasty/erroneous assumptions of the customer's issue (did not read carefully customer's email/enquiry/request).<br/>- Agent did not put much thought in to the customer's request.<br/>- Agent did not manage to identify Customer Profile (i.e. Sunny / Cloudy / Stormy) -so failed to adapt reply accordingly.<br/><br/>Phone:<br/>- CSS did not ask appropriate questions to clarify issue. <br/>- CSS did not ask open questions / closed questions --wherever/if needed.<br/>- CSS did not ask alternative questions to understand the issue.<br/>- CSS did not manage to understand customer's issue and identify the issue quickly.<br/>- CSS asked questions that were not appropriate to the situation.
common.resolution.solution;Solution
common.resolution.solution.desc;Complete and correct information. Long-term solution to avoid repeated situations like this. Recognize opportunities to show the company values (quality, products) to the customer and propose options. Treatment of objections. Correct Compensations. Customer retention. Actions taken.<br/><br/>Change category and escalate via Better Together if unnecessary ticket was created or if it was sent to the wrong team (because of wrong case category used) or incompletely done
common.resolution.solution.passed;When:<br/>- Agent provided accurate and complete information, provided solutions to the customer's concern and additional related benefits. <br/>- Agent clearly provided solutions that were pertinent to the situation and explained detailed process to manage customer.<br/>- Agent tried to retain the customer by proposing an offer adapted to his needs (PP change, SIMO extension or with device, acquisition of new subscription,  raise WB2 Case,  ...).<br/>- All policies and procedures were followed. <br/>- Actions taken correctly and accordingly.<br/>- Missed only minor policy guidelines that did not negatively impact the customer or business.<br/>- If/when additional clarification(s) were needed by customer: Agent resolved the issue based on the information given and then asked further appropriate questions to resolve the problem.<br/>- In case of IDF mail: Agent provided general information to the extend that it is possible (avoiding breach of security) and then add IDF/message depending on needs/request.<br/>- Change category and escalate via Better Together if unnecessary ticket was created or landing to the wrong team (because of wrong case category used) or incompletely done.
common.resolution.solution.failed;When:<br/>- Agent provided incorrect or incomplete information<br/>- Information was not related to customer concern.<br/>- Agent failed to come to a resolution. <br/>- Agent attempted to provide solution that was inappropriate to the situation. <br/>- Agent didn’t try to retain the customer and didn’t propose him/her any (adapted) offer.<br/>- Policy or Procedure was violated. <br/>- Agent followed incorrect guidelines for situation or did not fully adhere to the policy. <br/>- Agent did not ask further, appropriate questions to resolve the problem, if more information is needed. <br/>- Agent gave compensation out of guidelines.<br/>- If/when additional clarification(s) were needed by customer: Agent avoided giving any info/support (that would be based on the information given already by customer) and instead, asked directly for further questions and clarifications.<br/>- In case of IDF mail: Agent did not provide general information (to the extend that it is possible, avoiding breach of security) and only added the IDF/message.<br/>Full call score will become zero as this is  a fatal error.<br/>- Agent just closed the ticket without re-routing it to the right team.<br/>- No Better Together done to highlight wrong handling by case creator.
common.resolution.proactivity;Proactivity / Future Solution
common.resolution.proactivity.desc;Recognize opportunities to show the company values (quality, products, etc.) to the customer.<br/>Propose options and alternatives.<br/>Willingness to solve additional issues not proposed by the customer.
common.resolution.proactivity.passed;When:<br/>- Agent anticipated further issues /questions and provided additional info and took action to avoid issues from recurring.<br/>- Agent went the extra mile in giving the customer alternative channels (My Account, FAQ, etc) which the customer can consult to help himself the next time instead of calling or writing. <br/>Need to think of potential future issues related to the provided solution<br/>- Upsell/cross-sell to prevent billshocks or complaints (upgrade, Wi-Fi extenders, etc.)
common.resolution.proactivity.failed;When:<br/>- Agent did not anticipate further issues/questions and so did not provide additional info or take action to avoid issues from recurring.<br/>- Agent did not go the extra mile in giving the customer alternative channels which the customer can consult to help himself the next time instead of calling or writing. <br/>- Agent did not put much thought into thinking of potential future issues related to the provided solution.
common.resolution.system;System usage & Notations
common.resolution.system.desc;Correct wrap-up and notes, and efficient tool usage.
common.resolution.system.passed;"When:<br/>- Efficient use of tools (memos, SuperOffice tabs, external tools, etc..).<br/>- Full detailed notes about customer interaction in the appropriate systems (i.e. wrap-up memo in SO, VTI, etc.) and necessary information in « External ticket ID » (contractor, FLL,…) in SO. <br/>- Accurate wrap-up category.<br/>- Clear message left in the ""Internal message"" tab (email/case).<br/>- Ticket has the right status (email/case).<br/>- Necessary information added in the ""External ticket ID"" field in SO (contractor, FLL,...) (for email/case)."
