KEY;VALUE
telesales.resolution.diagnostic;Diagnostic correct des besoins et de la situation du client.
telesales.resolution.diagnostic.desc;Découverte des besoins exprimés et non exprimés par le client.
telesales.resolution.diagnostic.passed;"Téléphone :<br/>- L'agent a une bonne compréhension des besoins et des attentes du client.  <br/>- L'agent pose des questions ouvertes.<br/>- L'agent pose des questions alternatives pour comprendre les besoins du client.<br/>- L'agent écoute activement le client.<br/>Exemples :<br/>« Je veux m'assurer que je comprends bien ce que vous me dites. Donc, ...""<br/>« Si je comprends bien, ... »<br/>« Donc, ce que je comprends jusqu'à présent, c'est... ce serait bien si vous pouviez m'en dire un peu plus sur... »<br/>QUESTIONS OUVERTES <br/>c'est-à-dire : comment, pourquoi, quand, qui, quoi, où ?<br/>Exemples :<br/>- Combien de fois cela se produit-il ?<br/>- Qu'avez-vous fait avant que le problème ne commence ?<br/>- Qu'est-ce qu'il vous a affiché ensuite ?<br/>QUESTIONS FERMÉES<br/>c'est-à-dire : avez-vous, pouvez-vous, est-il, voulez-vous ?<br/>Exemples :<br/>- Avez-vous essayé d'effectuer un appel/test pour voir si une page Google s'ouvre ?<br/>- Voyez-vous les barres du réseau/signal ?<br/>- Êtes-vous d'accord avec cela ?"

telesales.resolution.diagnostic.failed;Téléphone :<br/>- L'agent n'a pas une bonne compréhension des besoins et des attentes du client.  <br/>- L'agent ne pose pas de questions ouvertes.<br/>- L'agent ne pose pas de questions alternatives pour comprendre les besoins du client.
telesales.resolution.solution.desc;Informations complètes et correctes. Proposer une solution que le client pourrait exploiter et expliquer de quelle manière le produit répond à ses besoins. Reconnaître les occasions de montrer les valeurs de l'entreprise (qualité, produits) au client et proposer des options. Compensations correctes. Fidélisation du client. Mesures prises.<br/><br/>
telesales.resolution.solution.passed;Quand :<br/>- L'agent a fourni des informations précises et complètes, a apporté des solutions aux besoins du client et des prestations supplémentaires y relatives. <br/>- L'agent a fourni des solutions claires et pertinentes aux besoins et a expliqué la procédure détaillée pour gérer le client.<br/>- L'agent a tenté de retenir le client en lui proposant une offre adaptée à ses besoins (changement de PP, extension SIMO ou avec appareil, achat d'un nouvel abonnement, création d'un cas WB2, etc.).<br/>- Toutes les politiques et procédures ont été suivies. <br/>- Les mesures ont été prises correctement et en conséquence.<br/>- Il ne manquait que des directives mineures qui n'ont pas eu d'impact négatif sur le client ou sur l'entreprise.
telesales.resolution.solution.failed;Quand :<br/>- L'agent n'a pas fourni d'informations précises et complètes, n'a pas apporté de solutions aux besoins du client et de prestations supplémentaires y relatives. <br/>- L'agent n'a pas fourni de solutions claires et pertinentes aux besoins et n'a pas expliqué la procédure détaillée pour gérer le client.<br/>- L'agent n'a pas tenté de retenir le client en lui proposant une offre adaptée à ses besoins (changement de PP, extension SIMO ou avec appareil, achat d'un nouvel abonnement, création d'un cas WB2, etc.).<br/>- Certaines politiques et procédures n'ont pas été suivies.<br/>- L'agent a accordé un rabais qui ne respecte pas les directives.
telesales.resolution.proactivity;Proactivité 
telesales.resolution.proactivity.desc;Reconnaître les occasions de montrer au client les valeurs de l'entreprise  (qualité, produits, etc.).<br/>Proposer des options et des alternatives.<br/>Volonté de satisfaire des besoins supplémentaires non exprimés par le client.
telesales.resolution.proactivity.passed;Quand :<br/>- L'agent a anticipé d'éventuels besoins/questions et a fourni des informations complémentaires.<br/>- L'agent a fait un effort supplémentaire en donnant au client des canaux alternatifs (Mon Compte, FAQ, etc.) qu'il peut consulter pour s'aider la prochaine fois au lieu d'appeler ou d'écrire. <br/>
telesales.resolution.proactivity.failed;Quand :<br/>- L'agent n'a pas anticipé d'éventuels besoins/questions et n'a pas fourni d'informations complémentaires.<br/>- L'agent n'a pas fait l'effort supplémentaire de donner au client des canaux alternatifs qu'il peut consulter pour s'aider la prochaine fois au lieu d'appeler ou d'écrire. 
telesales.sales.handleobjections;Gestion des objections
telesales.sales.handleobjections.desc;Traitement des objections. La gestion des objections consiste à répondre à l'acheteur de manière à le faire changer d'avis ou à apaiser ses inquiétudes et à permettre à la transaction d'avancer.
telesales.sales.handleobjections.passed;Quand :<br/>- L'agent a répondu de manière proactive aux préoccupations du client.<br/>- L'agent a posé des questions qualifiantes complémentaires et a répondu de manière réfléchie aux préoccupations du client.<br/>- L'agent a utilisé les bons arguments pour lui faire changer d'avis.<br/>- L'agent a des solutions alternatives
telesales.sales.handleobjections.failed;Quand :<br/>- L'agent n'a pas répondu de manière proactive aux préoccupations du client.<br/>- L'agent n'a pas posé de questions qualifiantes complémentaires et n'a pas répondu de manière réfléchie aux préoccupations du client.<br/>- L'agent n'a pas utilisé les bons arguments pour lui faire changer d'avis.<br/>- L'agent n'a pas de solutions alternatives
telesales.sales.opportunity.desc;Possibilité de suggérer des promotions, des options et des contrats disponibles.
telesales.sales.opportunity.passed;Quand :<ul><li>L’agent profite de l’occasion pour suggérer :</li><li>des options (p. ex. : application Mobile Security/assurance) ;</li><li>renouvellement – achat d’abonnements supplémentaires ;</li><li>Salt Home/bouquets TV (si le client est éligible à la fibre et les CSR ont le droit de vendre Home).</li></ul>
