KEY;VALUE
MAIN_TITLE;Transactions Monitoring
AGREE;Réussi
DISAGREE;Echec
NA;Non disponible
ERROR;Erreur
FORM_HELP;Sélectionnez le type de transaction que vous êtes en train d'observez
DIALOG_APPLY_YOURSELF;Allez sur {0}... Essayez mieux !
DIALOG_MSG_SUCCESS_TRUE;Tout va bien. Courriel envoyé avec succès
DIALOG_MSG_SUCCESS_FALSE;Échec. Quelque chose n'a pas fonctionné :(
DIALOG_TITLE_SUCCESS_TRUE;Suivi du courrier électronique et suivi
DIALOG_TITLE_SUCCESS_FALSE;Suivi du courrier électronique et suivi
ALERT_AGENT_NOT_SEARCHED;Vous n'avez pas choisi une personne à surveiller.
ALERT_AGENT_NOT_FOUND;L'agent n'a pas été trouvé dans le répertoire actif.
ALERT_MONITORING_SUMMARY;Le résumé du suivi est incomplet.
ALERT_TRANSACTION_SUMMARY;Le résumé de la transaction est incomplet.
ALERT_MONITORING_REASON;Vous n'avez pas choisi un motif de suivi.
ALERT_MONITORING_TYPE;Vous n'avez pas choisi un type de suivi.
ALERT_UNANSWERED_QUESTIONS;Certains sujets sont restés sans déclarations !
ALERT_ADD_ARGUEMENT_WHEN_DISAGREE;Veuillez expliquer pourquoi vous pensez que cela n'est pas exacte pour vous !
ALERT_TRANSACTION_DATE_NOT_SET;Vous n'avez pas fixé de date pour la transaction.
ALERT_TRANSACTION_ID_NOT_SET;Comment pourrons-nous vérifier vos affirmations si nous ne pouvons pas identifier la transaction ?
ALERT_TRANSACTION_TYPE;Aucun type de transaction n'a été sélectionné...
ALERT_TRANSACTION_FUTURR_DATE;La date de la transaction est dans le futur...
TRANSACTION_SUMMARY;Résumé de la transaction
TRANSACTION_SUMMARY_HELP;Notez que ceci sera envoyé à l'agent
TRANSACTION_SUMMARY_PLACEHOLDER;Rédigez ici un petit résumé du cas d'utilisation du client.
TRANSACTION_TYPE;Type
TRANSACTION_WHEN_HELP;Date et heure auxquelles la transaction a eu lieu
TRANSACTION_WHEN_DATE;Date
TRANSACTION_WHEN_DATE_HELP;Choisir une date
TRANSACTION_WHEN_TIME;Heure
TRANSACTION_ID;Identifiant
TRANSACTION_ID_HELP;Saisissez ici un identifiant spécifique de transaction :  - ID du ticket  ID de l'enregistrement de l'appel  - objet de l'e-mail  -etc. 
SELECT_DATE;Choisir...
MONITORING_SUMMARY;Résumé de l'observation
MONITORING_SUMMARY_HELP;Notez que ceci sera envoyé à l'agent
MONITORING_SUMMARY_PLACEHOLDER;Rédigez ici un petit résumé de vos observations sur la façon dont les agents ont traité la transaction
MONITORED_BY;Observé par
TRANSACTION_AGENT;Agent
TRANSACTION_AGENT_HELP;Saisissez le NT de l'agent. S'il a été trouvé, son e-mail s'affichera
MONITORING_COACH_HELP;Ce devrait être vous
MONITORING_COACH_LOGMEOUT;Ce n'est pas moi... déconnecte-moi !
MONITORING_REASON;Raison
MONITORING_REASON_HELP;Sélectionnez la raison pour laquelle vous faites cette observation
MONITORING_REASON_BASIC;Basique
MONITORING_REASON_BASIC_HELP;Suivi normal/régulier (2 x par mois)
MONITORING_REASON_EXTRA;en supplément
MONITORING_REASON_EXTRA_HELP;Suivi des new starters (4 x mois)
MONITORING_REASON_FOCUS;Focus
MONITORING_REASON_FOCUS_HELP;Suivi supplémentaire après des erreurs critiques (+2 dans le mois suivant)
MONITORING_REASON_SPEAKOUT;Better together
MONITORING_REASON_SPEAKOUT_HELP;Suivi d'agent à agent
MONITORING_REASON_CALLIBRATION;Calibr.
MONITORING_REASON_CALLIBRATION_HELP;Les calibrages n'ont pas été envoyés au moniteur/à l'agent
MONITORING_TYPE;Type 
MONITORING_TYPE_HELP;Comment faites-vous cette observation ?
MONITORING_TYPE_REMOTE;À distance
MONITORING_TYPE_REMOTE_HELP;L'agent observé n'est pas à vos côtés
MONITORING_TYPE_SIDEBYSIDE;Côte à côte
MONITORING_TYPE_SIDEBYSIDE_HELP;L'agent observé est à vos côtés
;
passed_placeholder;Laissez des commentaires si vous le souhaitez
failed_placeholder;Vous devez nous dire pourquoi
;
SEND_ALL_TOOLTIP;Choisissez d'envoyer soit tous les sujets ({{AGREE}}, {{DISAGREE}} et {{NA}}), soit uniquement {{DISAGREE}}
;
LOGIN_USERNAME;Nom d'utilisateur
LOGIN_PASSWORD;Mot de passe
LOGIN_BTN;Entraînons-nous !
SHOW_PWD;Cliquez sur moi pour afficher le mot de passe saisi
SEND_REPORT_TO_TL;Envoyer le rapport à mon manager
