KEY;VALUE
common.opening;APERTURA
common.opening.opening;Accoglienza
common.opening.opening.desc;E-mail:<br/>Saluti corretti come Sig. / Sig.ra / Sig.na, ecc. e con il nome corretto del cliente<br/><br/>Telefono:<br/>Saluto, presentazione.<br/>Utilizzare la stretta di mano verbale.
common.opening.opening.passed;E-mail:<br/>Agente:<br/>- Ha salutato il cliente con il suo nome.<br/>- Ha identificato il cliente  usando il corretto saluto di genere (cioè Sig./Sig.ra, ecc.)<br/><br/>Telefono:<br/>- L'agente ha salutato il cliente, usandola stretta di mano verbale<br/>- L'agente ha fornito il nome della marca/società (Salt -- non applicabile per LIDL)<br/>- Si è identificato
common.opening.opening.failed;E-mail:<br/>- Non ha usato il nome corretto del cliente nel saluto<br/>- C'è un errore di ortografia nome del cliente.<br/>- L'agente ha identificato il cliente  usando un saluto di genere sbagliato (cioè Sig./Sig.ra, ecc.)<br/><br/>Telefono:<br/>L'agente si discosta da uno dei 3 requisiti necessari per il superamento
common.opening.identification;Identificazione
common.opening.identification.desc;Corretta verifica del cliente (secondo il processo di identificazione).
common.opening.identification.passed;L'agente ha verificato adeguatamente secondo il processo di identificazione.
common.opening.identification.failed;E-mail:<br/>L'agente non ha seguito il <a href='http://qoom.salt.ch/knowledge/handling/ticket/contact_form-how_to_identify_the_applicant' target='_blank'>processo di identificazione</a>. <br/>Il punteggio complessivo della chiamata diventerà zero poiché si tratta di un errore fatale.<br/><br/>Telefono:<br/>L'agente non ha seguito il <a href='http://qoom.salt.ch/knowledge/handling/voice/customer_service-how_to_identify_the_caller' target='_blank'>processo di identificazione</a>. <br/>L'eccesso di verifica non è un fallimento. Il punteggio complessivo della chiamata diventerà zero poiché si tratta di un errore fatale 
common.resolution;FASI DI RISOLUZIONE
common.resolution.diagnostic;Comprensione e diagnosi dei problemi
common.resolution.diagnostic.desc;Diagnosi corretta della richiesta del cliente.<br/>Specificare il problema del cliente. <br/>Rivedi la cronologia del caso e il motivo del problema.
common.resolution.diagnostic.passed;"E-mail:<br/>- L'agente ha identificato la richiesta del cliente e il motivo del problema.<br/>- L'agente ha controllato la cronologia del caso e il contesto per capire il problema (quando applicabile).<br/>- L'agente ha fornito una spiegazione corretta di come/perché il problema si è verificato.<br/>- L'agente ha prestato attenzione alla richiesta/domanda del cliente.<br/>- L'agente è riuscito a identificare il profilo del cliente (cioè soleggiato / nuvoloso / tempestoso) - per adattare la risposta di conseguenza.<br/><br/>Telefono:<br/>- Il CSS è riuscito a capire il problema del cliente e a identificarlo rapidamente.  <br/>- Il CSS ha fatto domande aperte / domande chiuse -- se necessario.<br/>- Il CSS ha fatto domande alternative per capire la questione.<br/>- Il CSS ha posto domande appropriate che hanno portato a una piena comprensione delle preoccupazioni del cliente.<br/><br/>Esempi:<br/>""Voglio essere sicuro di aver capito bene quello che mi stai dicendo. Quindi, ...""<br/>""Se ho capito bene, ...""<br/>""Allora, quello che ho capito finora è... sarebbe bello se lei potesse dirmi qualcosa di più su...""<br/>DOMANDE APERTE <br/>Per esempio: come, perché, quando, chi, cosa, dove?<br/>Esempio:<br/>- Ogni quanto succede?<br/>- Cosa ha fatto prima che il problema iniziasse?<br/>- Cosa le è apparso dopo?<br/>DOMANDE CHIUSE<br/>Per esempio: Ha fatto, può, ha, è, vuole, sarebbe?<br/>Esempio:<br/>- Ha provato a effettuare una chiamata/un test per vedere se si apre una pagina di Google?<br/>- Vede le tacche della rete/segnale?<br/>- È d'accordo con questa affermazione?"
common.resolution.diagnostic.failed;E-mail<br/>- L'agente non ha identificato correttamente la richiesta del cliente /né il motivo del problema.<br/>- L'agente non ha ricontrollato la cronologia del caso e il contesto per capire il problema (quando applicabile).<br/>- L'agente non ha fornito una spiegazione corretta su come/perché il problema si è verificato.<br/>- L'agente ha fatto supposizioni affrettate/errate sul problema del cliente (non ha letto attentamente l'e-mail/la richiesta/la domanda del cliente).<br/>- L'agente non ha riflettuto abbastanza alla richiesta del cliente.<br/>- L'agente non è riuscito a identificare il profilo del cliente (cioè soleggiato / nuvoloso / tempestoso) - per adattare la sua risposta di conseguenza.<br/><br/>Telefono:<br/>- Il CSS non ha fatto domande appropriate per chiarire il problema. <br/>- Il CSS non ha fatto domande aperte / domande chiuse -- dovunque/se necessario.<br/>- Il CSS non ha fatto domande alternative per capire la questione.<br/>- Il CSS non è riuscito a capire il problema del cliente e a identificarlo rapidamente.<br/>- Il CSS ha fatto domande che non erano appropriate alla situazione.
common.resolution.solution;Soluzione
common.resolution.solution.desc;Informazioni complete e corrette. Soluzione a lungo termine per evitare che si ripetano situazioni analoghe. Riconoscere le opportunità di mostrare i valori dell'azienda (qualità, prodotti) al cliente e proporre opzioni. Trattamento delle obiezioni. Compensazioni corrette. Far rimanere il cliente. Azioni intraprese.<br/><br/>Cambiare categoria ed escalation tramite Better Together se è stato creato un ticket non necessario o incompleto oppure se è stato inviato al team sbagliato (perché è stata assegnata la categoria errata al caso).
common.resolution.solution.passed;Quando:<br/>- L'agente ha fornito informazioni accurate e complete, ha offerto soluzioni al problema del cliente e ulteriori benefici correlati. <br/>- L'agente ha fornito soluzioni chiare e pertinenti alla situazione e ha spiegato il processo dettagliato per gestire il cliente.<br/>- L'agente ha cercato di far rimanere il cliente proponendo un'offerta adattata alle sue esigenze (cambio PP, estensione SIMO o con dispositivo, acquisto di un nuovo abbonamento, aumento del caso WB2, ...).<br/>- Tutte le politiche e le procedure sono state seguite. <br/>- Azioni intraprese correttamente e di conseguenza.<br/>- Ha dimenticato solo linee guida minori che non hanno avuto un impatto negativo sul cliente o sul business.<br/>- Se/quando erano necessari ulteriori chiarimenti da parte del cliente: l'agente ha risolto il problema in base alle informazioni fornite e poi ha posto ulteriori domande appropriate per risolvere il problema.<br/>- In caso di posta IDF: l'agente ha fornito informazioni generali per quanto possibile (evitando la violazione della sicurezza) e poi ha aggiunto un IDF/messaggio a seconda delle esigenze/richieste. <br/>Cambiare categoria ed escalation tramite Better Together se è stato creato un ticket non necessario o incompleto o se è stato inviato al team sbagliato (perché è stata assegnata la categoria errata al caso).
common.resolution.solution.failed;Quando<br/>- L'agente ha fornito informazioni errate o incomplete<br/>- Le informazioni non erano correlate al problema del cliente.<br/>- L'agente non è riuscito a trovare una risoluzione. <br/>- L'agente ha tentato di fornire una soluzione inadeguata alla situazione. <br/>- L'agente non ha cercato di trattenere il cliente e non gli ha proposto nessuna offerta (adattata).<br/>- La politica o la procedura è stata violata. <br/>- L'agente ha seguito linee guida errate per la situazione o non ha aderito completamente alla politica. <br/>- L'agente non ha fatto ulteriori domande appropriate per risolvere il problema, se sono necessarie altre informazioni. <br/>- L'agente ha dato un compenso fuori dalle linee guida.<br/>- Se/quando erano necessari ulteriori chiarimenti da parte del cliente: l'agente ha evitato di dare qualsiasi informazione/supporto (che sarebbe stato basato sulle informazioni già date dal cliente) e ha fatto invece direttamente ulteriori domande e chiarimenti.<br/>- In caso di posta IDF: L'agente non ha fornito informazioni generali (per quanto possibile, evitando la violazione della sicurezza) e ha aggiunto solo l'IDF/messaggio.<br/>Il punteggio complessivo della chiamata diventerà zero poiché si tratta di un errore fatale.<br/>- L'agente ha chiuso il ticket senza reindirizzarlo al team giusto.<br/>- Non ha fatto nessun Better Together per evidenziare la gestione sbagliata da parte di chi ha creato il caso.
common.resolution.proactivity;Proattività / Soluzione futura
common.resolution.proactivity.desc;Riconoscere le opportunità di mostrare al cliente i valori aziendali (qualità, prodotti, ecc.).<br/>Proporre opzioni e alternative.<br/>Disponibilità a risolvere problemi aggiuntivi non proposti dal cliente.
common.resolution.proactivity.passed;Quando:<br/>- L'agente ha anticipato ulteriori problemi/domande, ha fornito informazioni aggiuntive e ha preso provvedimenti per evitare che i problemi si ripetano.<br/>- L'agente ha fatto il possibile per dare al cliente dei canali alternativi (Mio Conto, FAQ, ecc.) che il cliente può consultare per trovare una soluzione la prossima volta invece di chiamare o scrivere. <br/>Necessità di pensare a potenziali problemi futuri legati alla soluzione fornita<br/>- Upsell/cross-sell per prevenire malumori o reclami (upgrade, estensori Wi-Fi, ecc.)
common.resolution.proactivity.failed;Quando:<br/>- L'agente non ha anticipato ulteriori problemi/domande e quindi non ha fornito ulteriori informazioni o intrapreso azioni per evitare che i problemi si ripetessero.<br/>- L'agente non ha fatto il passo in più nel dare al cliente canali alternativi da consultare per trovare una soluzione la prossima volta invece di chiamare o scrivere. <br/>- L'agente non ha pensato molto ai potenziali problemi futuri legati alla soluzione fornita.
common.resolution.system;Uso del sistema e annotazioni
common.resolution.system.desc;Wrap-up e note corretti e uso efficiente degli strumenti.
common.resolution.system.passed;"Quando:<br/>- Uso efficiente degli strumenti (memo, schede di SuperOffice, software esterni, ecc.)<br/>- Note complete e dettagliate sull'interazione con il cliente nei sistemi appropriati (per esempio wrap-up e memo in SO, VTI, ecc.) e informazioni necessarie in ""External ticket ID"" (contractor, FLL,...) in SO. <br/>- Categorie wrap-up adeguate.<br/>- Cancella il messaggio lasciato nella scheda ""Internal message"" (e-mail/caso).<br/>- Lo stato del ticket è esatto (e-mail/caso).<br/>- Informazioni necessarie aggiunte nel campo ""External ticket ID""  in SO (contraente, FLL,...) (per e-mail/caso)."
common.resolution.system.failed;"Quando:<br/>- L'agente non ha usato tutti gli strumenti disponibili in modo efficiente (memo, schede di SuperOffice, software esterni, ecc.).<br/>- Mancano note dettagliate sull'interazione con il cliente nei sistemi appropriati (per esempio, il promemoria di wrap-up manca in alcuni strumenti) e non sono state aggiunte informazioni in ""External ticket ID"" in SO (e-mail/caso). <br/>- La categoria wrap-up è sbagliata / non corrisponde all'interazione o alle azioni fatte dall'agente.<br/>- Lo status del ticket è sbagliato.<br/>- Creazione errata del caso."
common.communication;COMUNICAZIONE
inbound.communication.listening;Ascolto attivo
inbound.communication.listening.desc;Prima di impegnarti in una soluzione, ascolta attivamente il cliente. Parafrasare il punto di vista del cliente, se necessario.<br/><br/>Ascolto attivo nel servizio clienti significa essere totalmente concentrati sulle parole che il cliente sta pronunciando, capire cosa significano quelle parole e rispondere in un modo da comprovare il significato di quelle parole.
inbound.communication.listening.passed;"Quando:<br/>- Il CSS ha seguito l'approccio ""Osserva, verifica e osserva""<br/>- Il CSS ha annuito verbalmente durante la chiamata (per esempio: ""Vedo.. / Capisco... / Ehm, sì, mi lasci controllare..."" ecc.)<br/>- Concentrati su ciò che sta dicendo il cliente, piuttosto che su ciò che stai per rispondere<br/>- Concentrati su ciò che il cliente non sta dicendo - tono della voce <br/>- Non interrompere il cliente - a nessuno piace essere interrotto nel mezzo di una frase<br/>- Presta al cliente tutta la tua attenzione, e elimina le distrazioni; non fare assolutamente multitasking mentre parli con un cliente<br/>- Prendi degli appunti veloci, ma non lasciare che ti distraggano da ciò che sta dicendo il cliente<br/>- Di tanto in tanto ripeti ciò che ha detto il cliente per essere sicuro di avere le informazioni corrette e per dimostrare che sei attento<br/>- Non prenderla sul personale quando un cliente è arrabbiato - spesso vuole solo che tu condivida la sua frustrazione prima di poter passare a una soluzione<br/>- Controlla spesso se stai raccogliendo le giuste informazioni e se hai capito esattamente il problema"
inbound.communication.listening.failed;"Quando: <br/>- Il CSS non ha seguito l'approccio ""Osserva, verifica e osserva""<br/>- Il CSS non ha annuito verbalmente durante la chiamata<br/>- Il CSS sembrava distratto mentre parlava il cliente <br/>- Ha fatto ripetere al cliente la stessa cosa<br/>- Il CSS non ha ascoltato le informazioni fornite e il cliente ha dovuto ripetere più volte le stesse informazioni<br/>- Il CSS interrompe il cliente<br/>- Il CSS non si accerta di prendere i dati corretti"
case.communication.contact;Modalità di contatto
case.communication.contact.desc;Il mezzo di contatto con il cliente è quello giusto (chiamata? Invio di un template?)
case.communication.contact.passed;Quando:<br/>- L'agente ha preferito contattare telefonicamente il cliente quando il caso è complesso, sensibile (un reclamo) o richiede diverse azioni da parte del cliente<br/>- L'agente ha preferito inviare un template (il template giusto per risolvere il problema) quando non è stato possibile contattare il cliente telefonicamente o per casi semplici in cui è disponibile un template (per esempio: compensazione effettuata)
case.communication.contact.failed;Quando:<br/>- L'agente non ha dato la priorità alla chiamata del cliente o all'invio di un template (o ha inviato quello sbagliato).
common.communication.softskills;Competenze trasversali
common.communication.softskills.desc;Dimostrazione di competenze di base ed empatia. <br/>Riconoscere i sentimenti del cliente.<br/>Capacità che permette di capire la prospettiva del cliente, anche se non si è necessariamente d'accordo.<br/>- comunicare con sincerità<br/>- affrontare sia i fatti che i sentimenti<br/>- dimostrare un livello di preoccupazione appropriato<br/>- rimanere obiettivi
common.communication.softskills.passed;"Quando <br/>- Il tono dell'e-mail/voce è amichevole e personalizzato.<br/>- Usa anche frasi empatiche a seconda del tono del cliente. <br/>- Usa parole magiche, affermazioni positive, parole di team-building.<br/>- Instaura la fiducia con il cliente e fallo sentire a suo agio e valorizzato.<br/>- Riconoscere la preoccupazione, quando è appropriato.<br/>- Affrontare prima i sentimenti del cliente, specialmente se il tono del cliente mostra frustrazione/irritazione /sarcasmo/rabbia, ecc.<br/>ESEMPI / uso di espressioni come:<br/>entusiasta, amichevole<br/>""Per favore / Grazie / Eccellente / Sarei felice di.... / Naturalmente...""                                                                                                                                                             <br/>empatia<br/>""Capisco la sua preoccupazione"", ecc.<br/>""Mi dispiace sentire questo. Posso immaginare che deve essere frustrante per lei"",<br/>""Mi rendo conto quanto debba/possa essere frustrante per lei. Mi permetta di aiutarla a ribaltare questa situazione. La prima cosa da fare è...""<br/>""Capisco la sua preoccupazione/il suo problema e vedrò come risolverlo....""<br/>""Capisco il suo punto di vista. La prima cosa che farò/controllerò per lei..."" <br/>Affrontare prima i sentimenti del cliente (specialmente se il cliente è arrabbiato) <br/>""So assolutamente che potrebbe essere frustrante. Posso capire come si sente"" <br/>""Mi rendo conto che questa situazione è difficile, quindi cercherò di trovare una soluzione""<br/>""Capisco quello che sta dicendo.  Mi permetta di vedere come posso aiutarla...""<br/>""Grazie per aver trovato il tempo di scriverci"" (e-mail/caso).<br/>""Grazie per la sua e-mail. Apprezziamo l'opportunità di chiarire quanto è successo"" (e-mail/caso).<br/>""Apprezziamo sempre i clienti che ci dedicano del tempo per darci il loro feedback. Riferirò quello che hai detto al nostro team di gestione"".<br/>Senso di immediatezza<br/>""Quello che sto facendo attualmente per aiutarla è..."" (Telefono)"
common.communication.softskills.failed;"Quando:<br/>- Il tono dell'e-mail/voce è neutro, secco, robotico, ""piatto"" o apatico.<br/>- Le e-mail non riescono a stabilire un tono amichevole e personalizzato. <br/>- Le e-mail non contengono espressioni di empatia o comprensione per il problema del cliente.<br/>- Non usa o usa poco le parole magiche o affermazioni positive.<br/>- L'agente non ha affrontato i sentimenti del cliente in modo da farlo sentire apprezzato.<br/>- L'agente non è riuscito ad adattare la risposta in base al profilo del cliente (soleggiato/nuvoloso/tempestoso).<br/>- Il CSS non fa un tentativo per mettere il cliente a suo agio.<br/>- Il CSS dimostra un tono ironico e discontinuo (deviare dal corso abituale o appropriato nella condotta o nell'opinione)."
common.communication.professionalism;Professionalità
common.communication.professionalism.desc;E-mail:<br/>Sii educato.<br/>Rispetta la scelta delle parole, la lunghezza della frase, la punteggiatura e le maiuscole.<br/><br/>Telefono:<br/>Comportamento generale durante la chiamata. <br/>La persona preposta esamina se l'agente è stato professionale, ha dimostrato di possedere competenze di base, capacità di giudizio e un comportamento educato.
common.communication.professionalism.passed;"E-mail:<br/>- Il tono dell'e-mail è professionale, rispettoso ed educato.<br/>- La punteggiatura e la formulazione generale sono professionali.<br/>- Le frasi non contengono esclamazioni e non sono troppo prolisse. <br/>- Il testo della risposta non contiene ripensamenti tra parentesi.<br/>- Le abbreviazioni e i numeri inferiori a 10 sono scritti per esteso. <br/>- Il testo contiene parole al posto dei simboli.<br/>- Il testo non contiene maiuscole non necessarie. <br/>- Non ci sono errori di accordo soggetto-verbo (per esempio: ""il tempo . . . sono"" dovrebbe essere ""il tempo . . . è"").<br/><br/>Telefono:<br/>- L'agente si comporta in modo professionale durante l'intera chiamata.<br/>- Rimane calmo sotto pressione o quando messo sotto stress dal cliente.<br/>- L'agente risponde, non reagisce"
common.communication.professionalism.failed;"E-mail:<br/>- Il tono dell'email è brusco, non professionale, troppo informale, irrispettoso o maleducato.<br/>- La punteggiatura e la formulazione generale non sono professionali.<br/>- Le frasi non contengono esclamazioni e non sono troppo prolisse. <br/>- La risposta contiene dei ripensamenti tra parentesi.<br/>- Le abbreviazioni e i numeri inferiori a 10 non sono scritti per esteso. <br/>- Il testo non contiene parole al posto dei simboli.<br/>- Il testo contiene maiuscole non necessarie. <br/>- Mancano virgole e punti nella frase che rendono il testo/periodo difficile da capire.<br/>- Ci sono errori di accordo soggetto-verbo (per esempio:, ""il tempo . . . sono"" dovrebbe essere ""il tempo . . . è"").<br/><br/>Telefono<br/>- L'agente ha un atteggiamento scortese o poco professionale.<br/>- L'agente è irrispettoso, sarcastico e ironico.<br/>- L'agente dimostra palesemente di non rispettare la richiesta del cliente.<br/>- Non usa la moderazione e reagisce (invece di rispondere). <br/>- Alza la voce..<br/>- Si mette sulla difensiva o si vendica."
common.communication.structure;Struttura / Controllo delle chiamate
common.communication.structure.desc;"E-mail:<br/>Presentazione ponderata dell'e-mail<br/>- Dare la giusta quantità di informazioni nel modo giusto affinché il lettore sia in grado di leggere facilmente il messaggio e abbia voglia di leggerlo.<br/><br/>Struttura che aiuta il lettore a ""scannerizzare"" il testo<br/>- Messaggio chiaro, breve e conciso.<br/>- Frasi brevi e mirate. <br/>- Il corpo dell'e-mail dovrebbe essere diretto e informativo, e dovrebbe contenere tutte le informazioni pertinenti.<br/>- Sfrutta il potere dei paragrafi di una sola frase.<br/><br/>Telefono:<br/>Avere il controllo totale della chiamata. <br/>Chiudere entro il tempo stabilito / Assicurarsi che tutti i dettagli necessari siano inclusi.<br/>Controllare la chiamata evitando di confondere il cliente e dimostrarsi disposti ad aiutarlo.<br/>Prendere il comando della chiamata dimostrando sicurezza e fornendo soluzioni con un risultato positivo."
common.communication.structure.passed;"E-mail:<br/>- Il testo mostra una struttura chiara e di facile lettura.<br/>- Il messaggio è chiaro, breve e conciso.<br/>- Le informazioni sono trasmesse in modo chiaro, preciso e comprensibile.<br/>- Il testo è composto da periodi ""facili da scannerizzare"": paragrafi brevi, titoli di sezione e elenchi..<br/>- Collegamenti ipertestuali per evitare il disordine delle frasi.<br/>- Ogni paragrafo trasmette un concetto e collega molto bene le idee.<br/><br/>Telefono:<br/>- il CSS ha dimostrato di avere il controllo delle chiamate attraverso dichiarazioni proattive e ha offerto soluzioni specifiche ai problemi del cliente. <br/>- Ha mostrato una certa sicurezza nel fornire soluzioni.<br/>- Ha assunto il controllo nella conversazione<br/>- Ha ridotto i tempi morti al minimo (2-3 tempi morti sono accettabili)<br/>- Ha mantenuto una posizione corretta/univoca (ossia conforme alle indicazioni contenute su di Qoom)<br/>- Ha mantenuto una posizione positiva <br/>- Ha usato parole e affermazioni positive"
